Barrio,Cantidad,Porcentaje
Palermo,59,8.526011560693641
Villa Urquiza,47,6.791907514450866
Caballito,47,6.791907514450866
Villa Devoto,38,5.491329479768786
Saavedra,37,5.346820809248555
Belgrano,34,4.913294797687861
Flores,29,4.190751445086705
Nuñez,19,2.745664739884393
Almagro,19,2.745664739884393
Barracas,18,2.601156069364162
Villa Pueyrredon,17,2.4566473988439306
Villa Del Parque,17,2.4566473988439306
Mataderos,16,2.312138728323699
Villa Crespo,16,2.312138728323699
Liniers,16,2.312138728323699
Colegiales,14,2.023121387283237
Recoleta,14,2.023121387283237
Villa Luro,13,1.8786127167630058
Parque Chas,13,1.8786127167630058
DESCONOCIDO,13,1.8786127167630058
Parque Chacabuco,12,1.7341040462427744
Balvanera,12,1.7341040462427744
Villa Ortuzar,12,1.7341040462427744
San Cristobal,12,1.7341040462427744
Chacarita,11,1.5895953757225432
Boca,11,1.5895953757225432
Boedo,11,1.5895953757225432
Floresta,9,1.300578034682081
Monte Castro,8,1.1560693641618496
Villa Gral. Mitre,8,1.1560693641618496
Monserrat,7,1.0115606936416186
Villa Lugano,7,1.0115606936416186
San Nicolas,7,1.0115606936416186
San Telmo,7,1.0115606936416186
Villa Riachuelo,6,0.8670520231213872
Parque Avellaneda,6,0.8670520231213872
Villa Santa Rita,6,0.8670520231213872
Retiro,6,0.8670520231213872
Velez Sarsfield,6,0.8670520231213872
Coghlan,5,0.7225433526011561
Parque Patricios,5,0.7225433526011561
Villa Real,5,0.7225433526011561
Nueva Pompeya,4,0.5780346820809248
Constitucion,4,0.5780346820809248
Paternal,3,0.4335260115606936
Agronomia,3,0.4335260115606936
Versalles,1,0.1445086705202312
Puerto Madero,1,0.1445086705202312
Villa Soldati,1,0.1445086705202312
