Zona,Cantidad,Porcentaje
15.0,149,21.562952243125906
16.0,148,21.41823444283647
1.0,79,11.432706222865413
5.0,57,8.24891461649783
17.0,51,7.380607814761215
18.0,34,4.92040520984081
7.0,24,3.4732272069464547
6.0,19,2.7496382054992763
3.0,14,2.0260492040520983
4.0,14,2.0260492040520983
19.0,14,2.0260492040520983
2.0,13,1.881331403762663
8.0,12,1.7366136034732274
12.0,11,1.5918958031837915
9.0,11,1.5918958031837915
20.0,11,1.5918958031837915
14.0,7,1.0130246020260492
13.0,7,1.0130246020260492
11.0,4,0.5788712011577424
10.0,3,0.43415340086830684
21.0,3,0.43415340086830684
23.0,1,0.1447178002894356
31.0,1,0.1447178002894356
36.0,1,0.1447178002894356
55.0,1,0.1447178002894356
76.0,1,0.1447178002894356
87.0,1,0.1447178002894356
